Tipo_Colegio,Genero,Estrato_Vivienda,Puntaje_Global,Puntaje_Matematicas,Puntaje_Lectura
Oficial,Femenino,Estrato 1,268,55,48
No Oficial,Masculino,Estrato 3,202,35,37
Oficial,Masculino,Estrato 3,270,50,66
No Oficial,Femenino,Estrato 3,257,42,58
Oficial,Femenino,Estrato 1,302,54,72
No Oficial,Masculino,Estrato 4,276,43,64
Oficial,Femenino,Estrato 2,188,39,42
Oficial,Masculino,Estrato 3,237,47,41
Oficial,Femenino,Estrato 1,251,50,39
Oficial,Masculino,Estrato 5,273,51,60
No Oficial,Masculino,Estrato 2,204,36,36
Oficial,Femenino,Estrato 2,276,52,38
Oficial,Femenino,Estrato 4,242,44,51
No Oficial,Femenino,Estrato 4,316,64,64
Oficial,Masculino,Estrato 1,190,52,28
Oficial,Femenino,Estrato 4,243,47,58
Oficial,Masculino,Estrato 3,291,53,52
Oficial,Masculino,Estrato 1,301,58,75
No Oficial,Femenino,Estrato 1,335,63,76
Oficial,Masculino,Estrato 2,241,44,55
Oficial,Masculino,Estrato 2,299,55,55
Oficial,Masculino,Estrato 3,240,53,49
No Oficial,Masculino,Estrato 1,332,71,68
Oficial,Femenino,Estrato 3,240,55,45
No Oficial,Femenino,Estrato 3,261,61,52
Oficial,Femenino,Estrato 3,200,37,52
Oficial,Femenino,Estrato 4,195,26,34
No Oficial,Femenino,Estrato 3,259,67,54
Oficial,Femenino,Estrato 1,313,44,58
Oficial,Masculino,Estrato 3,249,47,38
Oficial,Femenino,Estrato 5,238,36,55
Oficial,Masculino,Estrato 1,285,60,59
Oficial,Femenino,Estrato 5,258,43,58
No Oficial,Masculino,Estrato 1,295,68,52
No Oficial,Femenino,Estrato 2,279,57,51
Oficial,Femenino,Estrato 3,191,50,40
Oficial,Femenino,Estrato 3,244,49,54
Oficial,Femenino,Estrato 3,227,54,53
Oficial,Masculino,Estrato 2,219,35,43
Oficial,Femenino,Estrato 3,246,57,52
No Oficial,Masculino,Estrato 3,226,44,57
Oficial,Masculino,Estrato 2,246,51,46
No Oficial,Masculino,Estrato 2,274,62,56
Oficial,Masculino,Estrato 3,306,64,60
Oficial,Femenino,Estrato 2,305,54,62
Oficial,Femenino,Estrato 2,242,44,58
Oficial,Femenino,Estrato 1,225,36,40
Oficial,Masculino,Estrato 3,243,54,42
No Oficial,Masculino,Estrato 1,223,41,50
Oficial,Masculino,Estrato 2,287,53,67
No Oficial,Masculino,Estrato 1,271,55,43
Oficial,Masculino,Estrato 1,257,49,49
No Oficial,Masculino,Estrato 2,264,62,55
Oficial,Femenino,Estrato 2,244,55,49
No Oficial,Femenino,Estrato 2,323,70,65
Oficial,Femenino,Estrato 1,211,38,42
Oficial,Masculino,Estrato 4,278,61,50
No Oficial,Femenino,Estrato 1,244,52,30
Oficial,Femenino,Estrato 4,244,39,48
Oficial,Masculino,Estrato 3,207,39,39
Oficial,Masculino,Estrato 1,247,48,38
No Oficial,Masculino,Estrato 2,245,60,44
Oficial,Masculino,Estrato 6,209,38,48
Oficial,Masculino,Estrato 3,270,57,52
Oficial,Masculino,Estrato 1,247,59,50
Oficial,Masculino,Estrato 2,246,41,41
No Oficial,Masculino,Estrato 2,348,71,73
Oficial,Femenino,Estrato 3,275,71,70
Oficial,Masculino,Estrato 4,271,41,57
No Oficial,Femenino,Estrato 1,285,52,60
Oficial,Masculino,Estrato 2,253,52,52
Oficial,Masculino,Estrato 2,274,57,50
Oficial,Femenino,Estrato 6,266,54,59
Oficial,Femenino,Estrato 2,232,50,45
Oficial,Masculino,Estrato 4,291,68,70
Oficial,Femenino,Estrato 2,279,56,68
Oficial,Femenino,Estrato 3,329,65,62
Oficial,Masculino,Estrato 2,182,41,41
Oficial,Masculino,Estrato 4,273,70,50
Oficial,Femenino,Estrato 2,291,62,66
Oficial,Masculino,Estrato 3,285,65,50
Oficial,Masculino,Estrato 2,234,34,48
Oficial,Masculino,Estrato 3,190,36,41
Oficial,Femenino,Estrato 2,306,51,66
Oficial,Femenino,Estrato 1,225,45,37
Oficial,Femenino,Estrato 2,233,58,49
Oficial,Femenino,Estrato 2,327,55,66
Oficial,Femenino,Estrato 1,194,52,30
Oficial,Femenino,Estrato 1,277,55,63
Oficial,Femenino,Estrato 2,214,49,54
No Oficial,Femenino,Estrato 2,283,64,57
No Oficial,Masculino,Estrato 2,263,68,51
Oficial,Femenino,Estrato 2,272,59,51
Oficial,Femenino,Estrato 1,283,49,74
Oficial,Femenino,Estrato 1,288,65,64
Oficial,Femenino,Estrato 3,216,21,38
Oficial,Femenino,Estrato 1,199,32,28
Oficial,Femenino,Estrato 3,231,41,43
Oficial,Femenino,Estrato 2,258,34,48
Oficial,Masculino,Estrato 5,236,60,48
Oficial,Masculino,Estrato 1,99,30,20
Oficial,Femenino,Estrato 3,171,37,42
Oficial,Masculino,Estrato 2,235,54,28
Oficial,Masculino,Estrato 1,279,58,59
Oficial,Masculino,Estrato 2,208,48,47
Oficial,Femenino,Estrato 2,274,64,42
Oficial,Masculino,Estrato 2,185,25,30
Oficial,Femenino,Estrato 2,255,58,47
Oficial,Femenino,Estrato 4,255,60,54
Oficial,Femenino,Estrato 2,263,47,49
No Oficial,Masculino,Estrato 2,242,46,48
No Oficial,Femenino,Estrato 3,251,43,44
Oficial,Femenino,Estrato 3,274,57,55
Oficial,Masculino,Estrato 1,183,39,32
Oficial,Masculino,Estrato 3,214,44,36
No Oficial,Masculino,Estrato 2,288,51,58
Oficial,Masculino,Estrato 1,251,61,56
No Oficial,Masculino,Estrato 2,305,56,62
Oficial,Masculino,Estrato 1,269,58,52
Oficial,Femenino,Estrato 2,268,59,60
No Oficial,Femenino,Estrato 2,278,41,52
Oficial,Femenino,Estrato 2,208,44,41
Oficial,Femenino,Estrato 2,352,80,78
Oficial,Femenino,Estrato 3,233,46,43
Oficial,Femenino,Estrato 3,258,58,47
Oficial,Masculino,Estrato 3,262,46,57
Oficial,Masculino,Estrato 4,223,53,37
Oficial,Femenino,Estrato 4,227,36,53
Oficial,Femenino,Estrato 4,304,60,47
No Oficial,Masculino,Estrato 1,274,64,55
Oficial,Masculino,Estrato 2,261,61,47
Oficial,Femenino,Estrato 2,280,45,58
Oficial,Masculino,Estrato 2,236,45,57
Oficial,Masculino,Estrato 1,241,43,40
Oficial,Femenino,Estrato 2,283,66,46
No Oficial,Femenino,Estrato 5,268,53,61
Oficial,Femenino,Estrato 2,161,33,30
Oficial,Femenino,Estrato 2,305,64,60
Oficial,Femenino,Estrato 1,205,31,39
Oficial,Femenino,Estrato 3,253,52,48
No Oficial,Masculino,Estrato 2,258,43,45
Oficial,Masculino,Estrato 1,224,40,43
Oficial,Femenino,Estrato 5,227,41,39
Oficial,Masculino,Estrato 3,251,54,57
Oficial,Masculino,Estrato 3,209,35,37
Oficial,Masculino,Estrato 5,324,61,73
Oficial,Masculino,Estrato 2,245,51,53
Oficial,Masculino,Estrato 3,280,67,48
Oficial,Femenino,Estrato 1,244,52,41
Oficial,Masculino,Estrato 3,284,65,55
No Oficial,Masculino,Estrato 1,331,49,61
No Oficial,Femenino,Estrato 1,288,69,52
Oficial,Femenino,Estrato 2,224,37,50
Oficial,Masculino,Estrato 1,223,39,46
Oficial,Femenino,Estrato 2,265,68,61
Oficial,Femenino,Estrato 2,268,54,46
Oficial,Femenino,Estrato 3,242,42,35
Oficial,Masculino,Estrato 1,243,43,43
No Oficial,Femenino,Estrato 1,216,32,50
No Oficial,Femenino,Estrato 3,204,40,36
Oficial,Femenino,Estrato 3,155,28,42
Oficial,Masculino,Estrato 1,275,60,51
Oficial,Femenino,Estrato 2,267,67,57
Oficial,Femenino,Estrato 3,291,48,58
Oficial,Masculino,Estrato 1,268,58,39
Oficial,Masculino,Estrato 2,208,29,36
No Oficial,Femenino,Estrato 2,290,61,61
Oficial,Masculino,Estrato 4,248,40,49
Oficial,Femenino,Estrato 1,286,46,54
Oficial,Masculino,Estrato 2,306,81,60
Oficial,Masculino,Estrato 4,240,65,49
Oficial,Femenino,Estrato 2,280,50,36
No Oficial,Masculino,Estrato 2,256,66,47
Oficial,Femenino,Estrato 1,251,49,44
Oficial,Femenino,Estrato 6,323,53,69
Oficial,Femenino,Estrato 3,286,62,62
Oficial,Femenino,Estrato 3,221,51,45
No Oficial,Femenino,Estrato 1,314,68,63
Oficial,Masculino,Estrato 1,279,42,41
No Oficial,Femenino,Estrato 2,313,53,56
Oficial,Masculino,Estrato 2,269,61,51
Oficial,Masculino,Estrato 3,256,41,50
Oficial,Femenino,Estrato 2,295,67,58
Oficial,Femenino,Estrato 3,236,44,33
Oficial,Masculino,Estrato 2,205,27,47
No Oficial,Masculino,Estrato 2,237,36,40
Oficial,Femenino,Estrato 3,229,49,29
Oficial,Masculino,Estrato 2,353,74,76
Oficial,Femenino,Estrato 3,255,63,44
Oficial,Femenino,Estrato 1,273,54,59
Oficial,Masculino,Estrato 3,219,42,31
Oficial,Masculino,Estrato 4,295,73,56
Oficial,Femenino,Estrato 2,243,41,41
Oficial,Masculino,Estrato 2,240,45,50
Oficial,Masculino,Estrato 1,240,51,41
Oficial,Masculino,Estrato 3,193,31,41
Oficial,Masculino,Estrato 2,234,50,43
Oficial,Masculino,Estrato 1,266,53,48
No Oficial,Femenino,Estrato 3,250,59,56
Oficial,Femenino,Estrato 3,285,53,70
Oficial,Femenino,Estrato 4,234,41,44
Oficial,Femenino,Estrato 2,254,66,45
Oficial,Masculino,Estrato 2,155,37,30
No Oficial,Masculino,Estrato 4,309,70,62
Oficial,Femenino,Estrato 2,203,47,28
No Oficial,Femenino,Estrato 3,314,57,55
No Oficial,Femenino,Estrato 3,387,69,66
Oficial,Femenino,Estrato 2,209,34,33
Oficial,Femenino,Estrato 1,238,42,57
Oficial,Masculino,Estrato 1,234,56,30
Oficial,Femenino,Estrato 2,280,55,58
Oficial,Femenino,Estrato 2,170,41,31
Oficial,Femenino,Estrato 3,242,54,50
Oficial,Femenino,Estrato 2,241,61,40
Oficial,Femenino,Estrato 2,226,51,41
Oficial,Femenino,Estrato 2,208,43,50
No Oficial,Femenino,Estrato 1,290,47,54
Oficial,Femenino,Estrato 1,326,80,75
No Oficial,Femenino,Estrato 1,283,65,37
Oficial,Femenino,Estrato 2,208,44,45
Oficial,Masculino,Estrato 1,204,42,41
Oficial,Femenino,Estrato 1,233,32,36
Oficial,Femenino,Estrato 3,295,62,65
Oficial,Femenino,Estrato 1,266,48,47
Oficial,Masculino,Estrato 1,238,34,49
No Oficial,Femenino,Estrato 4,278,51,48
Oficial,Masculino,Estrato 3,232,48,42
Oficial,Femenino,Estrato 1,274,57,59
No Oficial,Masculino,Estrato 1,369,64,90
Oficial,Femenino,Estrato 3,268,42,47
Oficial,Masculino,Estrato 2,157,28,40
Oficial,Masculino,Estrato 1,245,53,58
No Oficial,Femenino,Estrato 1,264,46,57
Oficial,Masculino,Estrato 4,284,53,62
Oficial,Femenino,Estrato 2,254,52,45
Oficial,Femenino,Estrato 2,267,46,46
No Oficial,Femenino,Estrato 2,249,33,46
Oficial,Masculino,Estrato 1,282,58,58
No Oficial,Femenino,Estrato 2,236,33,45
Oficial,Masculino,Estrato 4,179,38,30
No Oficial,Femenino,Estrato 1,276,53,50
Oficial,Femenino,Estrato 6,275,53,52
Oficial,Masculino,Estrato 1,238,38,53
No Oficial,Masculino,Estrato 2,275,52,47
Oficial,Masculino,Estrato 1,254,43,54
Oficial,Femenino,Estrato 2,272,77,58
Oficial,Masculino,Estrato 2,215,36,39
Oficial,Femenino,Estrato 3,258,59,53
Oficial,Femenino,Estrato 2,258,47,59
Oficial,Femenino,Estrato 2,217,45,41
Oficial,Femenino,Estrato 3,285,57,51
Oficial,Masculino,Estrato 1,169,32,27
Oficial,Femenino,Estrato 2,253,49,44
Oficial,Femenino,Estrato 1,193,40,44
Oficial,Femenino,Estrato 2,204,51,40
Oficial,Masculino,Estrato 3,284,47,45
Oficial,Masculino,Estrato 1,201,26,48
No Oficial,Masculino,Estrato 4,285,50,55
Oficial,Masculino,Estrato 4,268,54,56
No Oficial,Masculino,Estrato 2,267,51,57
No Oficial,Femenino,Estrato 1,310,74,56
No Oficial,Femenino,Estrato 3,288,68,48
Oficial,Femenino,Estrato 4,213,38,35
No Oficial,Femenino,Estrato 1,327,77,64
No Oficial,Masculino,Estrato 4,322,67,67
Oficial,Femenino,Estrato 4,263,46,65
Oficial,Femenino,Estrato 2,195,38,45
Oficial,Femenino,Estrato 3,224,43,31
Oficial,Femenino,Estrato 2,226,39,44
Oficial,Masculino,Estrato 2,296,54,43
Oficial,Femenino,Estrato 2,224,48,51
Oficial,Masculino,Estrato 1,241,45,46
Oficial,Masculino,Estrato 3,227,43,45
Oficial,Masculino,Estrato 1,205,39,39
Oficial,Femenino,Estrato 2,203,39,41
No Oficial,Masculino,Estrato 4,292,65,53
Oficial,Femenino,Estrato 1,243,41,49
Oficial,Masculino,Estrato 2,275,56,48
Oficial,Femenino,Estrato 2,235,34,49
Oficial,Femenino,Estrato 1,236,43,49
Oficial,Masculino,Estrato 3,275,44,58
No Oficial,Masculino,Estrato 2,290,70,57
Oficial,Femenino,Estrato 2,187,38,44
No Oficial,Masculino,Estrato 1,235,43,59
Oficial,Femenino,Estrato 1,217,29,32
Oficial,Femenino,Estrato 1,247,38,40
Oficial,Masculino,Estrato 1,219,50,42
No Oficial,Masculino,Estrato 2,330,68,62
Oficial,Masculino,Estrato 2,169,22,37
Oficial,Masculino,Estrato 1,258,40,54
No Oficial,Masculino,Estrato 1,319,78,65
Oficial,Masculino,Estrato 2,296,70,47
Oficial,Masculino,Estrato 3,286,59,58
No Oficial,Masculino,Estrato 3,291,59,71
Oficial,Femenino,Estrato 1,308,60,65
Oficial,Femenino,Estrato 4,327,55,64
Oficial,Femenino,Estrato 4,234,53,51
Oficial,Masculino,Estrato 2,261,50,46
Oficial,Masculino,Estrato 3,250,55,52
Oficial,Femenino,Estrato 2,305,57,60
Oficial,Femenino,Estrato 4,189,40,29
Oficial,Masculino,Estrato 2,235,43,48
No Oficial,Masculino,Estrato 5,284,57,57
No Oficial,Femenino,Estrato 1,345,75,74
Oficial,Femenino,Estrato 2,243,44,49
Oficial,Masculino,Estrato 3,300,76,61
No Oficial,Femenino,Estrato 3,272,49,55
Oficial,Femenino,Estrato 3,249,50,50
Oficial,Femenino,Estrato 4,272,65,62
No Oficial,Femenino,Estrato 3,230,57,51
No Oficial,Masculino,Estrato 3,258,55,45
Oficial,Femenino,Estrato 2,213,44,41
Oficial,Femenino,Estrato 2,362,72,62
Oficial,Femenino,Estrato 2,226,56,55
Oficial,Femenino,Estrato 3,274,62,49
Oficial,Femenino,Estrato 2,321,72,58
Oficial,Masculino,Estrato 1,191,51,50
Oficial,Masculino,Estrato 1,269,57,49
No Oficial,Femenino,Estrato 4,255,47,44
No Oficial,Masculino,Estrato 1,275,57,59
Oficial,Masculino,Estrato 1,208,42,41
No Oficial,Masculino,Estrato 2,303,59,54
No Oficial,Femenino,Estrato 2,260,48,54
Oficial,Masculino,Estrato 2,225,49,49
Oficial,Femenino,Estrato 1,226,50,51
Oficial,Masculino,Estrato 1,326,59,66
Oficial,Masculino,Estrato 3,250,52,56
Oficial,Masculino,Estrato 3,213,55,48
Oficial,Masculino,Estrato 1,229,39,42
Oficial,Femenino,Estrato 3,261,63,64
Oficial,Femenino,Estrato 3,258,44,56
No Oficial,Femenino,Estrato 3,235,49,56
Oficial,Masculino,Estrato 2,179,21,34
Oficial,Femenino,Estrato 2,242,53,54
Oficial,Masculino,Estrato 3,241,46,50
Oficial,Masculino,Estrato 2,219,29,50
No Oficial,Femenino,Estrato 1,307,57,58
Oficial,Femenino,Estrato 2,267,67,49
Oficial,Masculino,Estrato 3,250,54,58
No Oficial,Masculino,Estrato 2,254,51,52
Oficial,Femenino,Estrato 2,314,67,69
Oficial,Masculino,Estrato 3,198,47,29
Oficial,Femenino,Estrato 4,225,57,39
No Oficial,Femenino,Estrato 2,215,40,39
Oficial,Femenino,Estrato 2,256,55,60
Oficial,Masculino,Estrato 3,271,58,63
Oficial,Femenino,Estrato 1,191,39,38
Oficial,Masculino,Estrato 3,217,41,46
No Oficial,Masculino,Estrato 3,358,84,72
Oficial,Femenino,Estrato 2,218,45,36
Oficial,Masculino,Estrato 1,228,35,46
Oficial,Masculino,Estrato 1,251,26,43
No Oficial,Femenino,Estrato 3,357,79,68
Oficial,Femenino,Estrato 2,256,47,49
No Oficial,Masculino,Estrato 2,365,71,84
No Oficial,Masculino,Estrato 2,244,52,49
Oficial,Masculino,Estrato 1,302,80,57
Oficial,Masculino,Estrato 2,274,65,59
Oficial,Femenino,Estrato 2,243,46,43
No Oficial,Femenino,Estrato 3,296,65,77
Oficial,Femenino,Estrato 2,315,58,66
Oficial,Masculino,Estrato 1,218,49,26
No Oficial,Masculino,Estrato 3,216,36,37
Oficial,Masculino,Estrato 3,228,47,58
Oficial,Masculino,Estrato 3,260,53,53
Oficial,Masculino,Estrato 1,335,58,63
Oficial,Masculino,Estrato 1,254,46,53
No Oficial,Masculino,Estrato 2,304,43,49
Oficial,Femenino,Estrato 4,252,47,43
Oficial,Femenino,Estrato 4,192,47,28
No Oficial,Femenino,Estrato 3,388,93,75
Oficial,Masculino,Estrato 1,313,74,73
No Oficial,Femenino,Estrato 3,299,56,63
No Oficial,Femenino,Estrato 4,314,62,66
Oficial,Masculino,Estrato 1,285,56,52
Oficial,Femenino,Estrato 2,216,41,48
Oficial,Femenino,Estrato 2,321,71,58
Oficial,Femenino,Estrato 1,173,30,33
Oficial,Masculino,Estrato 2,258,63,56
Oficial,Masculino,Estrato 4,162,33,31
Oficial,Femenino,Estrato 4,176,25,41
No Oficial,Masculino,Estrato 4,327,64,63
Oficial,Femenino,Estrato 2,217,47,52
Oficial,Femenino,Estrato 2,294,66,61
Oficial,Masculino,Estrato 3,158,37,25
No Oficial,Femenino,Estrato 2,290,55,54
Oficial,Femenino,Estrato 1,196,35,37
No Oficial,Masculino,Estrato 3,326,79,71
Oficial,Masculino,Estrato 2,306,61,74
Oficial,Femenino,Estrato 1,316,54,52
Oficial,Femenino,Estrato 1,265,48,50
Oficial,Masculino,Estrato 4,181,20,44
Oficial,Masculino,Estrato 2,196,26,38
Oficial,Femenino,Estrato 2,251,45,49
Oficial,Femenino,Estrato 5,212,36,46
No Oficial,Masculino,Estrato 2,286,51,47
Oficial,Femenino,Estrato 1,312,68,66
No Oficial,Masculino,Estrato 2,241,55,50
Oficial,Masculino,Estrato 1,209,32,43
Oficial,Femenino,Estrato 1,197,54,46
Oficial,Masculino,Estrato 4,234,47,46
Oficial,Femenino,Estrato 2,247,49,49
Oficial,Masculino,Estrato 3,245,42,50
Oficial,Femenino,Estrato 2,280,53,41
Oficial,Masculino,Estrato 1,260,68,59
Oficial,Masculino,Estrato 2,242,39,52
Oficial,Femenino,Estrato 1,246,51,52
No Oficial,Femenino,Estrato 2,226,40,47
Oficial,Femenino,Estrato 2,242,33,57
Oficial,Femenino,Estrato 1,217,31,44
Oficial,Femenino,Estrato 3,196,44,37
Oficial,Femenino,Estrato 1,250,36,37
Oficial,Femenino,Estrato 2,225,35,36
Oficial,Femenino,Estrato 3,266,59,51
Oficial,Femenino,Estrato 2,247,55,50
Oficial,Femenino,Estrato 4,245,49,44
Oficial,Masculino,Estrato 3,284,47,55
Oficial,Femenino,Estrato 5,188,28,31
Oficial,Masculino,Estrato 2,315,52,69
No Oficial,Masculino,Estrato 4,270,52,52
Oficial,Masculino,Estrato 3,303,65,68
Oficial,Femenino,Estrato 3,253,47,48
No Oficial,Femenino,Estrato 4,338,74,70
No Oficial,Femenino,Estrato 2,259,64,55
Oficial,Masculino,Estrato 4,221,47,45
Oficial,Masculino,Estrato 2,238,37,39
No Oficial,Femenino,Estrato 2,257,52,49
Oficial,Masculino,Estrato 2,302,71,45
No Oficial,Masculino,Estrato 1,244,43,60
Oficial,Masculino,Estrato 2,257,46,27
Oficial,Femenino,Estrato 5,259,60,57
Oficial,Masculino,Estrato 3,231,34,46
Oficial,Masculino,Estrato 3,237,48,35
No Oficial,Femenino,Estrato 3,300,55,61
No Oficial,Masculino,Estrato 2,213,39,34
Oficial,Femenino,Estrato 1,208,55,44
Oficial,Masculino,Estrato 1,224,40,44
No Oficial,Masculino,Estrato 1,319,64,65
Oficial,Femenino,Estrato 3,201,48,37
Oficial,Femenino,Estrato 3,249,39,59
Oficial,Femenino,Estrato 2,223,51,37
Oficial,Femenino,Estrato 1,265,49,48
No Oficial,Masculino,Estrato 2,281,45,55
Oficial,Masculino,Estrato 2,223,40,43
Oficial,Masculino,Estrato 2,275,55,47
No Oficial,Femenino,Estrato 2,330,67,52
Oficial,Femenino,Estrato 2,229,39,48
Oficial,Femenino,Estrato 4,245,47,51
Oficial,Masculino,Estrato 2,296,48,71
Oficial,Femenino,Estrato 3,238,41,56
Oficial,Femenino,Estrato 3,297,48,59
Oficial,Femenino,Estrato 2,240,47,43
Oficial,Femenino,Estrato 3,188,30,45
Oficial,Femenino,Estrato 2,239,64,41
Oficial,Masculino,Estrato 1,185,40,43
Oficial,Masculino,Estrato 1,232,33,36
Oficial,Masculino,Estrato 3,230,40,59
Oficial,Masculino,Estrato 2,317,69,55
Oficial,Masculino,Estrato 2,309,63,54
Oficial,Masculino,Estrato 1,248,37,36
No Oficial,Masculino,Estrato 1,319,57,61
No Oficial,Femenino,Estrato 3,206,46,44
Oficial,Femenino,Estrato 3,187,40,33
No Oficial,Femenino,Estrato 2,263,57,46
Oficial,Masculino,Estrato 2,259,49,41
No Oficial,Masculino,Estrato 4,298,52,61
Oficial,Masculino,Estrato 3,209,31,46
Oficial,Femenino,Estrato 3,282,63,57
Oficial,Femenino,Estrato 1,177,50,40
Oficial,Masculino,Estrato 2,267,55,44
No Oficial,Femenino,Estrato 4,320,71,59
Oficial,Masculino,Estrato 2,267,47,51
Oficial,Femenino,Estrato 3,284,56,65
Oficial,Masculino,Estrato 3,210,41,50
Oficial,Masculino,Estrato 1,199,42,45
Oficial,Femenino,Estrato 3,303,61,65
Oficial,Femenino,Estrato 1,242,70,42
No Oficial,Femenino,Estrato 3,297,65,60
Oficial,Femenino,Estrato 6,281,66,44
Oficial,Masculino,Estrato 5,206,43,46
No Oficial,Masculino,Estrato 3,216,26,41
Oficial,Femenino,Estrato 2,270,57,68
Oficial,Femenino,Estrato 3,303,69,62
Oficial,Femenino,Estrato 3,303,71,55
No Oficial,Masculino,Estrato 1,260,51,50
Oficial,Femenino,Estrato 1,275,43,50
No Oficial,Masculino,Estrato 2,263,50,48
No Oficial,Femenino,Estrato 1,350,58,69
Oficial,Femenino,Estrato 4,199,50,32
Oficial,Femenino,Estrato 2,236,50,46
Oficial,Femenino,Estrato 2,173,30,20
Oficial,Masculino,Estrato 2,239,53,48
No Oficial,Masculino,Estrato 4,254,62,45
No Oficial,Femenino,Estrato 4,283,62,47
Oficial,Masculino,Estrato 1,249,65,54
Oficial,Femenino,Estrato 3,236,40,34
Oficial,Femenino,Estrato 2,223,52,48
Oficial,Femenino,Estrato 2,208,29,44
Oficial,Femenino,Estrato 3,277,70,49
Oficial,Femenino,Estrato 1,183,42,34
Oficial,Femenino,Estrato 2,182,33,38
Oficial,Masculino,Estrato 2,281,46,57
Oficial,Femenino,Estrato 1,253,46,56
No Oficial,Femenino,Estrato 1,251,48,55
No Oficial,Masculino,Estrato 1,288,59,64
Oficial,Femenino,Estrato 3,325,64,73
Oficial,Femenino,Estrato 1,247,44,50
Oficial,Femenino,Estrato 2,256,60,49
Oficial,Masculino,Estrato 2,327,51,64
Oficial,Femenino,Estrato 4,242,52,46
Oficial,Masculino,Estrato 3,314,64,72
Oficial,Femenino,Estrato 6,160,31,26
Oficial,Masculino,Estrato 1,198,44,47
Oficial,Femenino,Estrato 3,218,38,40
Oficial,Masculino,Estrato 1,268,47,61
Oficial,Masculino,Estrato 3,315,60,68
No Oficial,Masculino,Estrato 2,217,39,43
Oficial,Masculino,Estrato 3,284,54,58
Oficial,Femenino,Estrato 2,334,72,59
Oficial,Femenino,Estrato 1,307,62,65
No Oficial,Masculino,Estrato 3,244,49,55
Oficial,Masculino,Estrato 4,279,57,65
Oficial,Masculino,Estrato 1,258,48,49
No Oficial,Femenino,Estrato 4,279,63,71
Oficial,Masculino,Estrato 1,262,56,50
Oficial,Masculino,Estrato 3,226,45,42
Oficial,Masculino,Estrato 5,249,40,48
Oficial,Masculino,Estrato 1,189,48,36
Oficial,Masculino,Estrato 2,174,40,24
Oficial,Masculino,Estrato 2,233,51,38
Oficial,Femenino,Estrato 2,257,64,42
Oficial,Femenino,Estrato 3,199,45,41
Oficial,Masculino,Estrato 3,266,52,63
Oficial,Femenino,Estrato 5,246,45,44
Oficial,Masculino,Estrato 1,271,49,53
No Oficial,Femenino,Estrato 2,322,66,58
Oficial,Masculino,Estrato 2,298,67,64
Oficial,Femenino,Estrato 4,269,61,55
Oficial,Femenino,Estrato 1,233,35,53
Oficial,Masculino,Estrato 6,252,57,43
Oficial,Femenino,Estrato 2,338,65,67
Oficial,Femenino,Estrato 3,284,52,55
Oficial,Femenino,Estrato 2,247,52,48
Oficial,Masculino,Estrato 4,238,53,54
No Oficial,Masculino,Estrato 2,301,50,56
Oficial,Femenino,Estrato 3,197,41,36
Oficial,Masculino,Estrato 3,313,49,57
Oficial,Femenino,Estrato 2,264,59,67
Oficial,Masculino,Estrato 1,194,29,32
Oficial,Femenino,Estrato 3,239,49,51
Oficial,Femenino,Estrato 2,295,56,49
Oficial,Masculino,Estrato 3,227,40,48
Oficial,Femenino,Estrato 3,212,26,34
No Oficial,Masculino,Estrato 2,365,61,74
Oficial,Masculino,Estrato 2,271,53,56
Oficial,Masculino,Estrato 3,227,37,44
No Oficial,Masculino,Estrato 3,290,55,62
Oficial,Masculino,Estrato 3,263,46,55
Oficial,Femenino,Estrato 1,200,37,35
Oficial,Masculino,Estrato 4,223,34,48
Oficial,Masculino,Estrato 2,240,44,49
Oficial,Masculino,Estrato 4,274,52,61
Oficial,Masculino,Estrato 1,227,45,35
Oficial,Femenino,Estrato 1,267,38,54
Oficial,Masculino,Estrato 2,291,58,58
No Oficial,Femenino,Estrato 2,245,40,46
Oficial,Masculino,Estrato 6,373,63,82
Oficial,Femenino,Estrato 1,301,70,55
Oficial,Masculino,Estrato 1,255,56,55
Oficial,Masculino,Estrato 1,237,51,42
No Oficial,Femenino,Estrato 1,303,58,69
Oficial,Masculino,Estrato 2,311,57,65
Oficial,Femenino,Estrato 2,253,62,39
Oficial,Femenino,Estrato 2,187,38,45
Oficial,Masculino,Estrato 1,176,28,39
Oficial,Femenino,Estrato 1,249,41,50
Oficial,Femenino,Estrato 1,250,52,45
Oficial,Femenino,Estrato 3,208,38,35
Oficial,Femenino,Estrato 3,184,45,40
Oficial,Masculino,Estrato 3,166,33,22
Oficial,Femenino,Estrato 5,214,33,38
No Oficial,Femenino,Estrato 4,224,59,49
No Oficial,Masculino,Estrato 2,341,60,58
No Oficial,Femenino,Estrato 2,298,49,50
No Oficial,Masculino,Estrato 4,236,46,50
Oficial,Femenino,Estrato 3,269,57,51
Oficial,Masculino,Estrato 2,265,45,64
Oficial,Masculino,Estrato 2,284,62,54
No Oficial,Femenino,Estrato 6,311,58,51
Oficial,Masculino,Estrato 3,223,64,52
No Oficial,Masculino,Estrato 2,272,57,45
Oficial,Masculino,Estrato 5,168,24,26
No Oficial,Femenino,Estrato 6,269,48,51
Oficial,Femenino,Estrato 1,264,56,53
Oficial,Masculino,Estrato 4,169,27,36
No Oficial,Masculino,Estrato 4,235,46,53
Oficial,Masculino,Estrato 1,324,80,46
No Oficial,Femenino,Estrato 3,270,59,47
Oficial,Masculino,Estrato 2,222,49,51
Oficial,Masculino,Estrato 3,253,66,44
